model;dim;corr_p;corr_s;stress;time
glove;1;0.16355243040049897;0.21842399126860906;27283235884211.26;7262.9230189323425
glove;2;0.14710510155612208;0.16547666891880494;14507294320053.006;9256.901753425598
glove;3;0.0660148375694554;0.07815416968695803;9268442394306.465;1945.7054505348206
glove;4;0.08245195086520554;0.0675148847322455;6474559716868.357;9251.827258348465
glove;5;0.11039383726491583;0.07719540173914628;4936860523216.146;9328.279693841934
glove;20;0.19180040406185786;0.11656553075528026;1110301508515.6592;9585.17887043953
glove;50;0.2706672720431233;0.16030916180451135;465886793769.75366;9602.55389046669
glove;100;0.34813500714165163;0.20377751972849456;263354060428.66544;10071.229849338531
glove;200;0.43435481763352557;0.26184446144523116;165785547814.10455;10077.136528491974
glove;300;0.48454112015974465;0.2989326278198435;134375962780.86794;10260.913712501526
glove;500;0.5496629667302071;0.3514399202974651;109073207281.45235;10360.804138422012
glove;1000;0.6204106699622767;0.4286148065327933;90689917701.24907;10709.153809785843
glove;1500;0.650671715836355;0.4729018384704047;84765285685.24615;5369.263669729233
glove;2000;0.6682284392566258;0.5032816625044417;81731808233.29822;6910.945177793503
glove;2500;0.6795781137433416;0.5246897950111731;79894851783.30853;8430.534267663956
glove;3000;0.6874053239823606;0.541860678351511;78665952754.36148;11331.882924079895
glove;10000;0.7168008586460073;0.6211988359763746;74537489490.29771;31549.470169067383
glove;11000;0.717897728810778;0.6254111371445545;74398376263.49623;34995.77838754654